comparison_id,paper_id,citation,url,artifact_type,target_id,target_dataset_id,target_split_family,target_priority,target_claim_surface,target_direct_sota_eligible,target_metric_name,role,anchor_id,derived_comparability,claim_blocked,blocking_fields,note,dataset,task_family,split_shift,population,adaptation,decision_object,metric,reported_metric_name,reported_metric_value,reported_metric_unit
cognolato_vs_db10_cross_population,cognolato_frontiers_ai_2022,"Cognolato et al., Frontiers in Artificial Intelligence, 2022",https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2021.744476/full,paper,db10_cross_population_policy,db10,db10_mixed_to_amputee,primary,benchmark_primary,False,active_macro_f1,comparator,db10_frontiers_2022_amputee_multimodal_gain,partial,True,task_family|split_shift|population|decision_object|metric,"Same DB10 prosthetic grasp family, but not the same cross-population split, policy object, or metric family.",exact,related,different,related,exact,different,different,accuracy_gain_percentage_points,15.61,percentage_points
cognolato_vs_db10_amputee_loso,cognolato_frontiers_ai_2022,"Cognolato et al., Frontiers in Artificial Intelligence, 2022",https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2021.744476/full,paper,db10_amputee_loso_policy,db10,db10_amputee_loso,primary,benchmark_primary,False,active_macro_f1,comparator,db10_frontiers_2022_amputee_multimodal_gain,partial,True,task_family|split_shift|population|decision_object|metric,"Same DB10 amputee population family, but not the same LOSO policy-layer protocol or endpoint.",exact,related,different,related,exact,different,different,accuracy_gain_percentage_points,15.61,percentage_points
wang_vs_db10_cross_population,wang_frobt_2022,"Wang et al., Frontiers in Robotics and AI, 2022",https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2022.948238/full,paper,db10_cross_population_policy,db10,db10_mixed_to_amputee,primary,benchmark_primary,False,active_macro_f1,comparator,,partial,True,task_family|split_shift|population|decision_object|metric,"Same MeganePro task family, but leave-one-repetition multimodal decoding is not the same as policy-layer cross-population control.",exact,related,different,related,exact,different,different,,,
wang_vs_db10_amputee_loso,wang_frobt_2022,"Wang et al., Frontiers in Robotics and AI, 2022",https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2022.948238/full,paper,db10_amputee_loso_policy,db10,db10_amputee_loso,primary,benchmark_primary,False,active_macro_f1,comparator,,partial,True,task_family|split_shift|population|decision_object|metric,"Useful DB10 multimodal context, but not a direct amputee-LOSO policy benchmark.",exact,related,different,related,exact,different,different,,,
zandigohar_vs_db10_cross_population,zandigohar_frobt_2024,"Zandigohar et al., Frontiers in Robotics and AI, 2024",https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2024.1312554/full,paper,db10_cross_population_policy,db10,db10_mixed_to_amputee,primary,benchmark_primary,False,active_macro_f1,comparator,db10_frobt_2024_reaching_phase_fusion_accuracy,not_comparable,True,task_family|split_shift|population|decision_object|metric,"Reaching-phase fusion is informative DB10 context, but not the same grasp-policy target.",exact,different,different,related,exact,different,different,accuracy_percent,95.3,percent
zandigohar_vs_db10_amputee_loso,zandigohar_frobt_2024,"Zandigohar et al., Frontiers in Robotics and AI, 2024",https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2024.1312554/full,paper,db10_amputee_loso_policy,db10,db10_amputee_loso,primary,benchmark_primary,False,active_macro_f1,comparator,db10_frobt_2024_reaching_phase_fusion_accuracy,not_comparable,True,task_family|split_shift|population|decision_object|metric,"Same dataset, but the protocol contract does not match the J2 amputee-LOSO policy claim.",exact,different,different,related,exact,different,different,accuracy_percent,95.3,percent
hyser_toolbox_vs_cross_day_policy,hyser_tnsre_2021,"Jiang et al., IEEE TNSRE, 2021",https://www.embs.org/tnsre/articles/open-access-dataset-toolbox-and-benchmark-processing-results-of-high-density-surface-electromyogram-recordings/,toolbox,hyser_cross_day_policy,hyser,hyser_within_subject_dayshift,supporting,supporting_external,False,active_macro_f1,comparator,hyser_tnsre_2021_toolbox_benchmark,partial,True,task_family|split_shift|decision_object|metric,"Closest Hyser benchmark context on the same dataset, but still a decoder benchmark rather than a matched-budget policy benchmark.",exact,related,related,exact,exact,different,different,,,
diffhgr_vs_cross_day_policy,su_bspc_2026_diffhgr,"Su et al., Biomedical Signal Processing and Control, 2026",https://www.sciencedirect.com/science/article/abs/pii/S1746809426002703,paper,hyser_cross_day_policy,hyser,hyser_within_subject_dayshift,supporting,supporting_external,False,active_macro_f1,comparator,hyser_bspc_2026_diffhgr,partial,True,task_family|split_shift|adaptation|decision_object|metric,"Same Hyser cross-day family, but requires target-day few-shot calibration and is not a policy-layer endpoint.",exact,related,related,exact,different,different,different,,,
cemhsey_release_vs_longitudinal_policy,huang_scidata_2025,"Huang et al., Scientific Data, 2025",https://www.nature.com/articles/s41597-025-05733-y,dataset_release,cemhsey_longitudinal_policy,cemhsey,cemhsey_forward_day_logo,supporting,supporting_external,False,active_macro_f1,context,cemhsey_scidata_2025_dataset_release,contextual,True,task_family|split_shift|adaptation|decision_object|metric,"Defines the longitudinal challenge and dataset scale, but not a forward-day policy-layer comparator.",exact,related,different,exact,unknown,different,different,,,
shared_control_boundary_db10_cross_population,shared_control_natcomms_2025,"Nature Communications shared human-machine prosthesis control, 2025",https://www.nature.com/articles/s41467-025-65965-9,boundary,db10_cross_population_policy,db10,db10_mixed_to_amputee,primary,benchmark_primary,False,active_macro_f1,boundary,shared_control_natcomms_2025_boundary,boundary,True,dataset|task_family|split_shift|population|adaptation|decision_object|metric,Boundary-only. Blocks generic claims that shared autonomy itself is novel or clinically validated here.,different,related,different,related,different,different,different,,,
