dataset_id,split_family,comparison_family,tau,policy_a,policy_b_same_tau,policy_b,split_id,subject_id,session,selected_threshold,target_intervention_rate,selected_intervention_rate,intervention_rate_gap,exact_budget_match,candidate_threshold_count,trace_count,disagreement_trace_count,max_attainable_intervention_rate
db10,db10_able_to_amputee,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,db10_able_to_amputee|S101,S101,ex1,0.8953091544836365,0.23,0.22714285714285715,0.0028571428571428636,False,203,4200,3204,0.7628571428571429
db10,db10_able_to_amputee,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,db10_able_to_amputee|S102,S102,ex1,0.8003881001562838,0.27476190476190476,0.2761904761904762,0.0014285714285714457,False,203,4200,3462,0.8242857142857143
db10,db10_able_to_amputee,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,db10_able_to_amputee|S103,S103,ex1,0.8953091544836365,0.1711904761904762,0.17357142857142857,0.0023809523809523725,False,203,4200,3272,0.7790476190476191
db10,db10_able_to_amputee,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,db10_able_to_amputee|S104,S104,ex1,0.8585450418282574,0.24952380952380954,0.2511904761904762,0.0016666666666666496,False,203,4200,3315,0.7892857142857143
db10,db10_able_to_amputee,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,db10_able_to_amputee|S105,S105,ex1,0.9149407606295747,0.11738095238095238,0.11880952380952381,0.0014285714285714318,False,203,4200,3599,0.856904761904762
db10,db10_able_to_amputee,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,db10_able_to_amputee|S106,S106,ex1,0.9287763594302245,0.11166666666666666,0.10976190476190475,0.001904761904761909,False,203,4200,3532,0.840952380952381
db10,db10_able_to_amputee,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,db10_able_to_amputee|S107,S107,ex1,0.865197334195216,0.20404761904761906,0.20785714285714285,0.0038095238095237904,False,203,4200,3565,0.8488095238095238
db10,db10_able_to_amputee,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,db10_able_to_amputee|S108,S108,ex1,1.01,0.0,0.0,0.0,True,203,4200,4200,1.0
db10,db10_able_to_amputee,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,db10_able_to_amputee|S109,S109,ex1,0.8752446181412283,0.17476190476190476,0.17285714285714285,0.001904761904761909,False,203,4200,3254,0.7747619047619048
db10,db10_able_to_amputee,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,db10_able_to_amputee|S110,S110,ex1,0.8552240547298485,0.06333333333333334,0.06452380952380952,0.0011904761904761862,False,203,4200,3144,0.7485714285714286
